channel,payment_method,transaction_count,gross_volume,authorization_rate,data_quality_score,reconciliation_variance_abs,settlement_delay_hours,auth_gap_bps,estimated_revenue_upside,priority_score
unattended,card,47701,872744.63,0.9033,94.5,524.25,28.0,316.9,94.26,141.5
recurring,card,33588,2083527.94,0.9047,93.8,1248.63,27.3,303.1,225.02,137.3
in_app,card,122397,6467621.41,0.9046,94.4,4009.96,27.5,304.3,698.5,137.1
online,card,233635,17560740.77,0.9047,94.5,10389.94,27.7,302.7,1896.56,136.9
in_store,card,163441,7120783.42,0.9049,94.4,4354.02,27.6,301.0,769.04,135.7
mobile,card,81484,3230057.71,0.9054,94.4,1951.45,27.7,296.4,348.85,133.3
in_store,ach,39112,3663478.15,0.9411,94.3,2432.78,56.3,139.0,305.45,85.9
online,ach,55736,9024078.24,0.9413,94.3,5871.33,56.5,136.7,740.18,85.4
in_app,ach,29320,3322252.86,0.9414,94.3,2236.19,56.7,136.4,271.9,85.2
recurring,ach,17280,2310227.46,0.9418,93.7,1546.46,55.9,132.1,183.12,83.9
mobile,ach,20265,1722946.74,0.9419,94.3,1152.81,56.7,131.4,135.8,83.1
in_app,p2p,18596,628768.55,0.9202,94.4,379.43,27.8,148.3,55.95,71.0
online,p2p,31568,1519843.05,0.9205,94.4,950.54,27.7,144.6,131.88,69.8
mobile,p2p,17292,439759.78,0.9208,94.4,269.47,27.7,141.8,37.41,68.2
in_store,p2p,22586,629549.69,0.9208,94.5,362.09,27.7,141.8,53.57,67.5
online,wallet,59504,3845840.48,0.9301,94.5,2331.59,28.4,48.9,112.76,29.0
recurring,wallet,17280,919926.61,0.9306,93.7,552.79,27.2,43.5,24.02,28.4
in_store,wallet,42024,1575701.12,0.9303,94.4,948.71,27.2,46.7,44.12,28.2
unattended,wallet,17345,272847.22,0.9304,94.3,164.83,27.9,45.6,7.46,27.8
mobile,wallet,21348,728995.46,0.9306,94.4,444.97,27.4,44.5,19.46,27.4
in_app,wallet,31454,1428930.55,0.9306,94.4,882.4,27.8,43.9,37.61,27.2
recurring,tokenized_card,17280,1157920.59,0.9476,93.8,697.55,27.4,0,0.0,9.9
online,tokenized_card,20473,1658032.21,0.948,94.4,998.49,28.0,0,0.0,8.5
in_app,tokenized_card,17282,984985.25,0.9478,94.5,582.88,28.0,0,0.0,8.2
in_store,tokenized_card,17592,828031.25,0.9469,94.4,480.31,27.9,0,0.0,8.2
mobile,tokenized_card,17280,740489.75,0.9476,94.5,437.76,27.4,0,0.0,8.1
unattended,tokenized_card,17280,340831.98,0.9468,94.5,198.34,27.3,0,0.0,8.1
