entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
PAY004,Payment method 4,Core,110.19,53.4,79.6,987559
PAY028,Payment method 28,Core,92.42,54.3,80.7,736288
PAY011,Payment method 11,Strategic,92.07,48.0,80.1,783466
PAY001,Payment method 1,Core,91.80,52.4,79.8,739403
PAY027,Payment method 27,Growth,91.33,48.9,81.0,768986
PAY021,Payment method 21,Watch,89.67,53.8,79.7,697005
PAY022,Payment method 22,Strategic,87.35,51.6,80.1,685638
PAY012,Payment method 12,Growth,87.12,53.8,79.4,660105
PAY031,Payment method 31,Growth,85.55,55.4,80.4,629257
PAY009,Payment method 9,Strategic,82.74,52.2,81.1,620308
PAY002,Payment method 2,Core,82.39,50.3,80.7,630517
PAY023,Payment method 23,Growth,82.01,50.6,80.1,619464
PAY024,Payment method 24,Watch,80.50,54.0,81.2,574075
PAY017,Payment method 17,Strategic,80.21,50.2,81.4,604236
PAY034,Payment method 34,Growth,79.58,50.8,79.6,581755
PAY015,Payment method 15,Strategic,78.49,47.6,80.7,598741
PAY016,Payment method 16,Growth,76.74,49.6,79.4,551370
PAY014,Payment method 14,Growth,76.33,50.5,79.0,536291
PAY003,Payment method 3,Watch,75.83,54.5,79.3,495757
PAY007,Payment method 7,Core,75.40,51.6,80.7,521498
PAY008,Payment method 8,Watch,74.85,53.6,78.7,487288
PAY018,Payment method 18,Strategic,74.08,51.9,81.9,505190
PAY006,Payment method 6,Strategic,73.79,51.7,78.8,489629
PAY029,Payment method 29,Growth,73.22,55.3,80.2,456188
PAY035,Payment method 35,Core,72.86,49.1,79.9,503779
