entity_id,entity_name,segment,owner
PAY001,Payment method 1,Core,Product
PAY002,Payment method 2,Core,Customer
PAY003,Payment method 3,Watch,Analytics
PAY004,Payment method 4,Core,Product
PAY005,Payment method 5,Strategic,Product
PAY006,Payment method 6,Strategic,Customer
PAY007,Payment method 7,Core,Operations
PAY008,Payment method 8,Watch,Customer
PAY009,Payment method 9,Strategic,Operations
PAY010,Payment method 10,Growth,Customer
PAY011,Payment method 11,Strategic,Product
PAY012,Payment method 12,Growth,Operations
PAY013,Payment method 13,Strategic,Analytics
PAY014,Payment method 14,Growth,Analytics
PAY015,Payment method 15,Strategic,Operations
PAY016,Payment method 16,Growth,Product
PAY017,Payment method 17,Strategic,Revenue
PAY018,Payment method 18,Strategic,Revenue
PAY019,Payment method 19,Strategic,Operations
PAY020,Payment method 20,Watch,Customer
PAY021,Payment method 21,Watch,Product
PAY022,Payment method 22,Strategic,Customer
PAY023,Payment method 23,Growth,Operations
PAY024,Payment method 24,Watch,Analytics
PAY025,Payment method 25,Core,Operations
PAY026,Payment method 26,Strategic,Product
PAY027,Payment method 27,Growth,Revenue
PAY028,Payment method 28,Core,Analytics
PAY029,Payment method 29,Growth,Product
PAY030,Payment method 30,Core,Analytics
PAY031,Payment method 31,Growth,Customer
PAY032,Payment method 32,Strategic,Customer
PAY033,Payment method 33,Core,Customer
PAY034,Payment method 34,Growth,Customer
PAY035,Payment method 35,Core,Revenue
PAY036,Payment method 36,Strategic,Revenue
